vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
RAMM INC,,"$1,228.50 ",FPO0089912,12/26/2024,728047416,12/27/2024,,12/26/2024,66424,12/24/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0089912 | Facilities Requisition | ServiceNow (service-now.com)
MMSR LLC,2024 - 2025 Snow Removal - 12/20/24,"$3,075.00 ",FPO0084565,10/1/2024,728046277,10/15/2024,,12/23/2024,1243,12/23/2024,12/27/2024,12/27/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0084565 | Facilities Requisition | ServiceNow (service-now.com)
MMSR LLC,2024 - 2025 Snow Removal - 12/24/24,"$3,545.00 ",FPO0084565,10/1/2024,728046277,10/15/2024,,12/30/2024,1270,12/30/2024,12/30/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0084565 | Facilities Requisition | ServiceNow (service-now.com)
Aire Master,,$299.85 ,FPO0084241,9/25/2024,728046007,9/27/2024,,9/25/2024,2281,9/18/2024,9/30/2024,9/30/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084241 | Facilities Requisition | ServiceNow (service-now.com)
Aire Master,,$299.85 ,FPO0085929,10/21/2024,728046380,10/22/2024,,10/21/2024,2324,10/16/2024,10/23/2024,10/24/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0085929 | Facilities Requisition | ServiceNow (service-now.com)
Aire Master,,$299.85 ,FPO0087835,11/18/2024,728046817,11/20/2024,,11/18/2024,2359,11/13/2024,11/20/2024,11/21/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0087835 | Facilities Requisition | ServiceNow (service-now.com)
BIG BOYS CLEANING SERVICE,,"$2,373.50 ",FPO0084224,9/25/2024,728046006,9/26/2024,,9/25/2024,33,9/25/2024,10/3/2024,10/4/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,
BIG BOYS CLEANING SERVICE,,"$2,373.50 ",FPO0088206,11/25/2024,728046913,11/26/2024,,11/25/2024,35,11/23/2024,11/26/2024,11/27/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0088206 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,,$932.00 ,FPO0084231,9/25/2024,728046033,9/27/2024,,9/24/2024,74134,6/4/2024,9/30/2024,9/30/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084231 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,Quote #241029MRMHIMU,"$1,332.67 ",FPO0086541,10/29/2024,728046512,10/31/2024,11/1/2024,11/7/2024,0079073-IN,11/7/2024,11/7/2024,11/8/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086541 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,Installment 2,$295.00 ,FPO0077012,5/29/2024,728044517,5/30/2024,,11/7/2024,0078907-IN,10/30/2024,11/7/2024,11/8/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0077012 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,Installment 2,$325.00 ,FPO0077013,5/29/2024,728044519,5/30/2024,,11/7/2024,0078908-IN,10/30/2024,11/7/2024,11/8/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0077013 | Facilities Requisition | ServiceNow (service-now.com)
CHADWICK SERVICE CO,,$720.00 ,FPO0071503,2/27/2024,728043448,2/27/2024,,11/1/2024,100245,11/1/2024,11/1/2024,11/4/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3Db39a5c721b6c02147e69437cdc4bcbb1
CLARK SERVICES GROUP LLC,Contract,"$1,654.00 ",FPO0068605,1/15/2024,728042884,1/15/2024,,11/5/2024,307016,11/4/2024,11/5/2024,11/6/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0068605 | Facilities Requisition | ServiceNow (service-now.com)
CLEAN HARBORS ENV SERVICES,,"$2,396.12 ",FPO0084443,9/27/2024,728046032,9/27/2024,,9/27/2024,1005190460,9/24/2024,9/30/2024,9/30/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084443 | Facilities Requisition | ServiceNow (service-now.com)
CM3 BUILDING SOLUTIONS INC,,"$4,626.85 ",FPO0060815,8/28/2023,728041154,8/30/2023,,11/11/2024,V2340801,10/16/2023,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0060815 | Facilities Requisition | ServiceNow (service-now.com)
CM3 BUILDING SOLUTIONS INC,,"$2,771.86 ",FPO0079592,7/12/2024,728045086,7/17/2024,,11/12/2024,V2430501,8/24/2024,11/12/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0079592 | Facilities Requisition | ServiceNow (service-now.com)
CONVERGINT,CIP Quote MH25709910P,"$59,079.12 ",,,,,,11/20/2024,CIP - IN00257243,10/23/2024,,11/21/2024,Sent CIP Invoice to AP,Sent To AP ,
ELECTRONIC SECURITY SOLUTIONS,,"$1,369.86 ",FPO0086353,10/25/2024,728046478,10/30/2024,,10/25/2024,55971,10/24/2024,10/30/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086353 | Facilities Requisition | ServiceNow (service-now.com)
ELECTRONIC SECURITY SOLUTIONS,,$660.00 ,FPO0087086,11/6/2024,728046579,11/6/2024,,11/6/2024,56288,11/5/2024,11/7/2024,11/8/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087086 | Facilities Requisition | ServiceNow (service-now.com)
ELECTRONIC SECURITY SOLUTIONS,,"$1,724.43 ",FPO0082997,9/5/2024,728045762,9/5/2024,,11/12/2024,55342,9/30/2024,11/12/2024,11/15/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0082997 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,73PM06 /  (A/R RO1130) IT RM,$321.50 ,FPO0084003  (Contract),9/20/2024,728045964,9/24/2024,10/8/2024,10/9/2024,SCHED00072301(1ST),10/9/2024,10/9/2024,10/10/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084003 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,$770.00 ,FPO0084315,9/26/2024,728046009,9/26/2024,,9/25/2024,SRVCE000193701,7/25/2024,9/30/2024,9/30/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084315 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,$669.50 ,FPO0078544,6/25/2024,728044905,6/28/2024,,9/25/2024,SCHED00071006,7/1/2024,9/26/2024,9/26/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0078544 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,$447.00 ,FPO0084615,10/1/2024,,728046099,10/2/2024,9/30/2024,SRVCE000197574,9/30/2024,10/3/2024,10/4/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084615 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,$760.50 ,FPO0078545,6/25/2024,728044848,6/25/2024,,10/4/2024,SCHED00072202,10/1/2024,10/4/2024,10/7/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0078545 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,,$669.50 ,FPO0078544,6/25/2024,728044905,,,10/28/2024,SCHED00072203,10/1/2024,10/29/2024,10/30/2024,"Contract PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0078544 | Facilities Requisition | ServiceNow (service-now.com)
FERGUSON & MCCANN INC,,"$2,370.00 ",FPO0083665,9/16/2024,728045886,9/18/2024,,9/27/2024,57432,9/27/2024,9/27/2024,9/27/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0083665 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,Quote #279,"$2,256.30 ",FPO0084127,9/23/2024,728046005,9/26/2024,,9/27/2024,1744,9/26/2024,10/2/2024,10/3/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084127 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$449.10 ,FPO0084678,10/2/2024,728046100,10/7/2024,,10/2/2024,1756,10/2/2024,10/7/2024,10/7/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084678 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$878.40 ,FPO0085104,10/8/2024,728046179,10/9/2024,,10/8/2024,1764,10/7/2024,10/9/2024,10/10/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0085104 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,"$6,380.00 ",FPO0083833,9/18/2024,728045885,9/18/2024,,10/23/2024,1774,10/22/2024,10/23/2024,10/24/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0083833 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$449.10 ,FPO0086124,10/23/2024,728046473,10/29/2024,,10/23/2024,1777,10/23/2024,10/29/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086124 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$242.10 ,FPO0086259,10/24/2024,728046475,10/28/2024,,10/24/2024,1779,10/24/2024,10/30/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086259 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$449.10 ,FPO0086263,10/24/2024,728046476,10/28/2024,,10/24/2024,1781,10/24/2024,10/30/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086263 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,Quote #284,"$1,710.00 ",FPO0086119,10/23/2024,728046407,10/24/2024,10/28/2024,10/28/2024,1788,10/28/2024,10/31/2024,11/1/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086119 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,"$1,710.00 ",FPO0086471,10/29/2024,728046487,10/31/2024,,10/28/2024,1788,10/28/2024,,11/1/2024,"PO Cancelled, Invoiced already recvd.",Sent To AP ,FPO0086471 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$809.10 ,FPO0086661,10/31/2024,728046555,11/4/2024,,10/31/2024,1793,10/30/2024,11/5/2024,11/6/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086661 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$449.10 ,FPO0086845,11/4/2024,728046558,11/5/2024,,11/4/2024,1797,11/3/2024,11/5/2024,11/6/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086845 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$449.10 ,FPO0087712,11/15/2024,728046785,11/19/2024,,11/15/2024,1807,11/15/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087712 | Facilities Requisition | ServiceNow (service-now.com)
FRANKLIN CLEANING EQUIPMENT,,$315.25 ,FPO0086311,10/25/2024,728046477,10/28/2024,,10/25/2024,S1025175,6/7/2024,10/30/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086311 | Facilities Requisition | ServiceNow (service-now.com)
FRANKLIN CLEANING EQUIPMENT,,"$4,780.68 ",FPO0087638,11/14/2024,728046745,11/15/2024,,11/13/2024,SI026096,11/5/2024,11/15/2024,11/19/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087638 | Facilities Requisition | ServiceNow (service-now.com)
FRANKLIN CLEANING EQUIPMENT,,$722.15 ,FPO0087531,11/13/2024,728046758,11/18/2024,,11/13/2024,SI026129,11/11/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087531 | Facilities Requisition | ServiceNow (service-now.com)
FRANKLIN CLEANING EQUIPMENT,,"$2,483.47 ",FPO0087647,11/14/2024,728046781,11/19/2024,,11/14/2024,SI026095,11/5/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087647 | Facilities Requisition | ServiceNow (service-now.com)
GENSERVE LLC,,$880.00 ,FPO0085421,10/11/2024,728046240,10/11/2024,,10/10/2024,0444600-IN,6/30/2024,10/15/2024,10/16/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0085421 | Facilities Requisition | ServiceNow (service-now.com)
GENSERVE LLC,Genserve,$629.23 ,FPO0082279,8/23/2024,728045597,8/26/2024,,10/2/2024,0464315-IN,9/28/2024,10/3/2024,10/4/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0082279 | Facilities Requisition | ServiceNow (service-now.com)
GP ENERGY PRODUCTS LLC,Boiler Parts 10/3/2024,$373.00 ,FPO0084825,10/3/2024,728046168,10/7/2024,10/8/2024,10/9/2024,90711,10/9/2024,10/9/2024,10/10/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084825 | Facilities Requisition | ServiceNow (service-now.com)
GP ENERGY PRODUCTS LLC,Boiler Parts 10/9/2024,$322.00 ,FPO0085271,10/9/2024,728046236,10/11/2024,10/14/2024,10/18/2024,90752,10/18/2024,10/22/2024,10/22/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0085271 | Facilities Requisition | ServiceNow (service-now.com)
GP ENERGY PRODUCTS LLC,Boiler Parts 10/16/2024,$243.48 ,FPO0085673,10/16/2024,728046378,10/22/2024,10/24/2024,10/31/2024,90789,10/31/2024,10/31/2024,11/1/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0085673 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,,$619.42 ,FPO0085170,10/8/2024,728046180,10/9/2024,,,,10/15/2024,10/11/2024,,Waiting to Receive 56GK83 Compact Bulbs 50 Each,Sent To AP ,FPO0085170 | Facilities Requisition | ServiceNow (service-now.com)
GTO GREASE TRAP SERVICES,,$283.95 ,FPO0083847,9/18/2024,728045911,9/19/2024,N/A,9/18/2024,10014426,9/17/2024,9/20/2024,9/20/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0083847 | Facilities Requisition | ServiceNow (service-now.com)
GTO GREASE TRAP SERVICES,,$283.95 ,FPO0085509,10/14/2024,728046250,10/15/2024,,10/14/2024,10016256,10/10/2024,10/15/2024,10/15/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0085509 | Facilities Requisition | ServiceNow (service-now.com)
GTO GREASE TRAP SERVICES,,$283.95 ,FPO0087216,11/7/2024,728046676,11/12/2024,,11/7/2024,10012306,8/16/2024,11/12/2024,11/15/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087216 | Facilities Requisition | ServiceNow (service-now.com)
GTO GREASE TRAP SERVICES,,$294.98 ,FPO0087510,11/13/2024,728046757,11/18/2024,,11/13/2024,10018527,11/11/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087510 | Facilities Requisition | ServiceNow (service-now.com)
HD SUPPLY,,"$1,338.29 ",FPO0084445,9/27/2024,728046030,9/27/2024,,10/18/2024,9230307178,10/1/2024,10/18/2024,10/22/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0084445 | Facilities Requisition | ServiceNow (service-now.com)
ICP MEDICAL LLC,Quote - Curtain Reorder 10/31/2024,$540.00 ,FPO0086751,11/1/2024,728046557,11/5/2024,11/5/2024,11/11/2024,INV-00112190,11/6/2024,11/12/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086751 | Facilities Requisition | ServiceNow (service-now.com)
JOHN S MCMANUS INC,Gero Walls,"$7,975.00 ",FPO0085259,10/9/2024,728046198,10/9/2024,,10/29/2024,Project - Gero Psych_1,10/29/2024,10/29/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3D75a39bc73b85d6903008ca8c24e45a5b%26sysparm_view%3DAssetUser%26sysparm_domain%3Dnull%26sysparm_domain_scope%3Dnull%26sysparm_record_row%3D1%26sysparm_record_rows%3D348%26sysparm_record_list%3Dsys_created_by%253djavascript%253ags.getUserName()%255eORDERBYDESCsys_created_on
KB LIGHTING MFG CO INC,927241,$981.00 ,FPO0084482,9/30/2024,728046053,9/30/2024,10/2/2024,10/23/2024,"0603216-IN, 0603370-IN", 10/15/2024,10/23/2024,10/24/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0084482 | Facilities Requisition | ServiceNow (service-now.com)
KLENZOID INC,,$980.50 ,FPO0086028,10/22/2024,728046383,10/22/2024,,10/22/2024,20948,10/22/2024,10/25/2024,10/28/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086028 | Facilities Requisition | ServiceNow (service-now.com)
KLENZOID INC,,"$3,147.18 ",FPO0069210,1/24/2024,728043048,1/24/2024,,11/1/2024,02Q4785,11/1/2024,11/1/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0069210 | Facilities Requisition | ServiceNow (service-now.com)
KLENZOID INC,,$455.09 ,FPO0070495,2/12/2024,728043268,2/12/2024,,11/20/2024,15537,3/8/2024,11/20/2024,11/21/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0070495 | Facilities Requisition | ServiceNow (service-now.com)
LABOV SUPPLY CO INC,S1552835,$505.27 ,FPO0085239,10/9/2024,728046235,10/11/2024,10/14/2024,10/17/2024,S1552835-001,10/17/2024,10/18/2024,10/22/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0085239 | Facilities Requisition | ServiceNow (service-now.com)
LABOV SUPPLY CO INC,Quote #S1553869,$471.00 ,FPO0086894,11/4/2024,728046560,11/5/2024,11/7/2024,11/21/2024,S1553869.001,11/18/2024,11/21/2024,11/21/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0086894 | Facilities Requisition | ServiceNow (service-now.com)
LIMBACH COMPANY LLC,,"$2,030.00 ",FPO0081957,8/19/2024,728045550,8/21/2024,,10/4/2024,29818,10/4/2024,10/10/2024,10/10/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0081957 | Facilities Requisition | ServiceNow (service-now.com)
LOCKATONG ENGINEERING INC,,$740.00 ,FPO0084581,10/1/2024,728046081,10/2/2024,,10/1/2024,5753,9/30/2024,10/3/2024,10/4/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084581 | Facilities Requisition | ServiceNow (service-now.com)
MADDEN ELECTRIC ASSOC INC,,"$1,613.17 ",FPO0086109,10/23/2024,728046467,10/29/2024,,10/9/2024,10978,10/4/2024,10/29/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086109 | Facilities Requisition | ServiceNow (service-now.com)
MADDEN ELECTRIC ASSOC INC,CIP Invoice,"$58,656.00 ",,,,,,11/14/2024,11004,11/13/2024,,11/15/2024,,Sent To AP ,
MAINTAIN IT ALL,Quote #65779801,"$1,250.00 ",FPO0087250,11/8/2024,728046638,11/8/2024,11/11/2024,11/18/2024,96577859,11/15/2024,11/18/2024,11/19/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087250 | Facilities Requisition | ServiceNow (service-now.com)
MAJOR MEDICAL HOSPITAL SVCS,,$477.00 ,FPO0084408,9/27/2024,728046031,9/30/2024,,9/26/2024,41564,9/26/2024,9/30/2024,9/30/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084408 | Facilities Requisition | ServiceNow (service-now.com)
MAJOR MEDICAL HOSPITAL SVCS,SQ12696 2 of 3 Year Contract,$479.06 ,FPO0084416 (Contract),9/27/2024,728046079,10/1/2024,,9/26/2024,41417,9/26/2024,10/14/2024,10/15/2024,"PO Approved, received invoice, and sent to AP",Sent To AP ,FPO0084416 | Facilities Requisition | ServiceNow (service-now.com)
MAJOR MEDICAL HOSPITAL SVCS,,$500.00 ,FPO0087477,11/13/2024,728046755,11/18/2024,,11/12/2024,41919,11/7/2024,11/18/2024,11/19/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087477 | Facilities Requisition | ServiceNow (service-now.com)
MELADY LANDSCAPING,,"$2,450.00 ",FPO0078042,6/17/2024,728044754,6/27/2024,,10/3/2024,8035,10/3/2024,10/3/2024,10/4/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0078042 | Facilities Requisition | ServiceNow (service-now.com)
MELADY LANDSCAPING,,"$2,450.00 ",FPO0078042,6/17/2024,728044754,6/17/2024,,10/8/2024,7695,9/3/2024,10/8/2024,10/8/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0078042 | Facilities Requisition | ServiceNow (service-now.com)
MELADY LANDSCAPING,Contract,"$2,450.00 ",FPO0078042,6/17/2024,728044754,,,11/4/2024,8160,11/1/2024,11/4/2024,11/4/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0078042 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$10,545.00 ",FPO0078990,7/2/2024,728044956,7/5/2024,,10/1/2024,10021090,10/1/2024,10/2/2024,10/2/2024,Invoice Received and sent to Rox AP,Sent To AP ,FPO0078990 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$7,565.00 ",FPO0075478,5/1/2024,728044208,5/2/2024,,10/8/2024,10021458,9/30/2024,10/8/2024,10/8/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0075478 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$1,553.50 ",FPO0080765,7/31/2024,728045273,8/1/2024,,10/8/2024,10021457,9/30/2024,11/8/2024,11/8/2024,Need to follow up on Invoice adjusted amount,Sent To AP ,FPO0080765 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$3,965.00 ",FPO0080765,7/31/2024,728045273,8/1/2024,,10/30/2024,10022338,10/30/2024,10/30/2024,10/30/2024,"Contract PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0080765 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,Contract Installment,$605.00 ,FPO0080765,7/31/2024,728045273,8/1/2024,,11/11/2024,10022997,11/11/2024,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0080765 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$252.00 ,FPO0087367,11/11/2024,728046680,11/12/2024,,11/11/2024,10022998,11/11/2024,11/13/2024,11/15/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087367 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,"$3,965.00 ",FPO0080765,7/31/2024,728045273,8/1/2024,,11/8/2024,10022338,10/30/2024,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0080765 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$575.00 ,FPO0056359,6/9/2023,728039533,6/9/2023,,11/13/2024,10014024,4/23/2024,11/15/2024,11/15/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0056359 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$600.00 ,FPO0056359,6/9/2023,728039533,6/9/2023,,11/13/2024,10014935,4/30/2024,11/14/2024,11/15/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0056359 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$575.00 ,FPO0056359,6/9/2023,728039533,6/9/2023,,11/13/2024,10008289,11/30/2023,11/15/2024,11/15/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0056359 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$70.00 ,FPO0087589,11/14/2024,728046762,11/19/2024,,11/14/2024,10014935A,4/30/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087589 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$280.00 ,FPO0087592,11/14/2024,728046763,11/19/2024,,11/14/2024,10014024A,4/23/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087592 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,,$419.31 ,FPO0087599,11/14/2024,728046764,11/19/2024,,11/14/2024,10008289A,11/30/2023,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087599 | Facilities Requisition | ServiceNow (service-now.com)
PURE WATER TECHNOLOGY OF CENTE,Contract Installment,$588.00 ,FPO0079196,10/1/2024,728045014,,,10/1/2024,235679,10/1/2024,10/1/2024,10/1/2024,3rd Installment Invoice Received and sent to Rox AP,Sent To AP ,FPO0079196 | Facilities Requisition | ServiceNow (service-now.com)
PURE WATER TECHNOLOGY OF CENTE,Contract,$588.00 ,FPO0079196,7/9/2024,728045014,7/10/2024,,11/1/2024,239227,11/1/2024,11/1/2024,11/4/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3D896de7c987138e14156c8445dabb3519
RAMM INC,,,FPO0083637,9/16/2024,728045822,9/16/2024,N/A,9/16/2024,65955,9/16/2024,9/17/2024,9/17/3034,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3D8d6f64f7876c9250156c8445dabb35ef%26sysparm_view%3DAssetUser%26sysparm_record_target%3Dx_nuvo_eam_facilities_purchase_order%26sysparm_record_row%3D3%26sysparm_record_rows%3D4%26sysparm_record_list%3Dsys_created_by%253Djavascript%253Ags.getUserName%2528%2529%255EORDERBYDESCsys_created_on
RAMM INC,,"$1,512.50 ",FPO0083826,9/18/2024,728045909,9/19/2024,N/A,9/18/2024,65960,9/17/2024,9/20/2024,9/20/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0083826 | Facilities Requisition | ServiceNow (service-now.com)
