vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
Grainger,,,FPO0083563,9/13/2024,728045845,9/17/2024,N/A,N/A,N/A,N/A,9/19/2024,,"Received 2 of 3 items 9/19/24 (9NW53 & 12U584), Item 797ZN6 is on Backorder until 12/31/2024",Received,FPO0083563 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,,$723.05 ,FPO0084552,10/1/2024,728046078,10/2/2024,,,,,10/3/2024,,Received complete order (5 12G702),Received,FPO0084552 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,,$87.90,FPO0086591,10/30/2024,728046510,10/31/2024,,,,,11/5/2024,,Received order in full,Received,FPO0086591 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,,"$2,140.51",FPO0087000,11/5/2024,728046608,11/7/2024,,,,,11/8/2024,,Received order in full,Received,FPO0087000 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,Grainger Order 11/18/2024,$533.91 ,FPO0087783,11/18/2024,728046816,11/20/2024,,,,,11/21/2024,,"Received, Order Complete",Received,FPO0087783 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,Grainger Order 11/19/2024,$33.44,FPO0087866,11/19/2024,728046818,11/20/2024,,,,,11/21/2024,,"Received, Order Complete",Received,FPO0087866 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,Grainger Order 11/25/2024,$81.12,FPO0088220,11/25/2024,728046911,11/25/2024,,,,,,,"Received, Order Complete - ER",Received,FPO0088220 | Facilities Requisition | ServiceNow (service-now.com)
HILTI INC.,Quote #930840311,$886.56,FPO0085452,10/11/2024,728046248,10/15/2024,10/24/2024,,,,10/28/2024,,Received order in full,Received,FPO0085452 | Facilities Requisition | ServiceNow (service-now.com)
HILTI INC.,Hilti supply quote_10/4/2024,$430.66,FPO0084978,10/4/2024,728046167,10/7/2024,10/24/2024,,,,10/28/2024,,Received order in full,Received,FPO0084978 | Facilities Requisition | ServiceNow (service-now.com)
STAPLES,,$26.28,FPO0086607,10/30/2024,,,,,,,,,,Requisition,FPO0086607 | Facilities Requisition | ServiceNow (service-now.com)
ELLIOTT LEWIS,73PM02 / ROX5800 (A/R RO1130),"$2,876.00(4 Qtrs @$719.00)",FPO0088815,12/6/2024,,,,,,,,,,Requisition,FPO0088815 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-07717842,"$1,465.20",FPO0089045,12/11/2024,728047161,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089045 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-08463733,$360.00,FPO0089052,12/11/2024,728047168,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089052 | Facilities Requisition | ServiceNow (service-now.com)
